"Jahr"	"Abgebrochene Bruttogeschossfläche"
2007	31371
2008	70814
2009	47744
2010	70421
2011	64116
2012	22665
2013	84937
2014	101327
2015	55542
2016	97795
2017	81886
2018	99906
2019	65772
2020	70199
2021	41790
2022	36825
