	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
ÖV-Anbindung	1173	472	79	16	11	30
Einkaufsmöglichkeiten	1134	495	89	28	2	32
Grünflächen	981	574	146	44	7	29
Kinderspielplätze	790	703	182	35	42	29
Sicherheit generell	689	768	231	50	12	31
Velowege/Velonetz	573	718	281	85	83	42
Freizeitangebote für Jugendliche	348	743	352	63	229	47
Quartiertreffpunkte	396	671	253	68	349	45
Verkehrssicherheit der Kinder	301	759	514	168	11	27
Verkehrsbelastung insgesamt	300	720	519	175	29	38
Treffpunkte für Jugendliche	265	634	353	76	413	40
