Aggloteile2	Obligatorische Schule	Sekundarstufe II	Tertiärstufe
Basel: Agglomeration	67357	200057	199500
Basel: Kernstadt	15308	27968	57138
Basel: Übrige Agglomeration CH	25524	86511	90568
Basel: Agglomeration D	17820	59160	32770
Basel: Agglomeration F	8705	26418	19024
......			
Bern: Agglomeration	25146	86925	120148
Bern: Kernstadt	8597	21765	49763
Bern: Übrige Agglomeration CH	16549	65160	70385
.........			
Genf: Agglomeration	86027	177615	239816
Genf: Kernstadt	22494	27930	57563
Genf: Übrige Agglomeration CH	37053	72490	97149
Genf: Agglomeration F	26480	77195	85104
.............			
Lausanne: Agglomeration	44117	85937	114140
Lausanne: Kernstadt	16753	22919	42356
Lausanne: Übrige Agglomeration CH	27364	63018	71784
................			
Zürich: Agglomeration	102402	268815	443893
Zürich: Kernstadt	29759	57970	172993
Zürich: Übrige Agglomeration CH	72643	210845	270900
