Jahr des Übertritts	Schweiz	Ausland	Total	NA	NA
2007	 	 	 	 	 
2008	 	 	 	 	 
2009	 	 	 	 	 
2010	 	 	 	 	 
2011	 	 	 	 	 
2012	 	 	 	 	 
2013	 	 	 	 	 
2014	 	 	 	 	 
2015	 	 	 	 	 
2016	 	 	 	 	 
2017	 	 	 	 	 
 	 	 	 	 	 
Lesebeispiel: Jahr des Übertritts 2017 = Ende Schuljahr 2016/17	 	 	 	 	 
