	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	125	326	202	33	668	0
2007	81	362	197	35	717	0
2011	254.16572	560.12434	172.42501	21.41587	415.19228	14.47066
2015	232.16251	411.17705	81.64092	9.06858	427.98952	0
2019	319.2404	365.40493	140.44263	35.8686	776.82522	76.29982
2023	273.40471	417.54238	160.61114	42.79819	784.18214	29.43934
