Publikationsjahr	1 Zi. Neuerstellt	1 Zi. Bestand	2 Zi. Neuerstellt	2 Zi. Bestand	3 Zi. Neuerstellt	3 Zi. Bestand	4 Zi. Neuerstellt	4 Zi. Bestand	5 Zi. Neuerstellt	5 Zi. Bestand	6 Zi. u.m. Neuerstellt	6 Zi. u.m. Bestand		
2013	38.9	33.8	57.8	55.1	102.3	74.8	134.7	99.8	155.9	129.5	197.2	177.5			
2014	39.9	34.0	66.6	55.1	103.4	75.0	129.9	100.0	197.2	129.6	237.5	177.5		
2015	53.3	34.1	56.8	55.2	80.4	75.0	110.6	100.1	159.3	129.9	198.4	177.6			
2016	63.8	34.1	64.1	55.2	90.4	75.1	116.4	100.3	165.3	129.9	192.9	177.5			
2017	38.8	34.1	61.3	55.2	90.1	75.1	110.9	100.3	134.9	129.9	200.8	177.4			
2018	47.4	34.1	67.5	55.3	88.4	75.2	111.0	100.5	139.1	129.9	206.2	177.5			
2019	68.6	34.4	64.3	55.5	88.5	75.3	112.3	100.6	136.6	130.1	166.4	177.5		
2020	41.1	34.5	54.8	55.5	81.8	75.4	111.3	100.8	151.6	130.4	194.0	177.5		
2021	37.2	34.6	59.7	55.6	85.9	75.5	109.6	100.9	138.8	130.5	175.5	177.6
2022	45.4	34.5	60.9	55.6	86.5	75.6	113.6	101.1	150.5	130.7	179.5	177.7
2023	38.9	34.5	58.0	55.7	78.8	75.6	113.4	101.3	142.2	130.8	199.4	177.7
2024	41.6	34.4	64.8	55.7	99.9	75.7	135.7	101.4	138.5	130.8	203.4	177.7




