""	"Bauschreinerei, Fenster und Türen"	"Schreinerarbeiten im Innenausbau und sonstiges Schreinereigewerbe"
2012	107.0	200.5
2013	82.7	227.2
2014	85.4	228.6
2015	80.5	214.4
2016	83.6	203.7
2017	63.0	281.5
2018	51.0	278.8
2019	40.7	271.3
2020	37.3	258.0

