""	"BS"	"BL"	"AG"	"ZH"
"2014-1"	8370	2687	5829	13207
"2014-2"	3806	1937	4299	8989
"2014-3"	3880	2237	5260	9758
"2014-4"	2517	1338	2904	6543
"2015-1"	8288	2331	5503	13379
"2015-2"	3338	1916	4327	9349
"2015-3"	3724	2178	5259	9507
"2015-4"	2904	1361	3130	6212
"2016-1"	9059	2187	6005	13329
"2016-2"	3921	1911	4861	9900
"2016-3"	3734	2170	5221	9718
"2016-4"	2694	1374	3269	7188
"2017-1"	7953	2461	6235	14106
"2017-2"	4054	2057	4650	9548
"2017-3"	3767	2183	5598	10226
"2017-4"	3086	1469	3403	7128
"2018-1"	7765	2307	6661	14085
"2018-2"	3864	2071	5168	10838
"2018-3"	3604	2039	5067	10243
"2018-4"	2759	1366	3197	7415
"2019-1"	5714	2305	5972	14913
"2019-2"	4104	1972	5405	10809
"2019-3"	3790	2383	4990	10937
"2019-4"	3121	1440	3237	8134
"2020-1"	5298	2359	6072	15070
"2020-2"	1704	1589	3478	6454
"2020-3"	2812	2015	4990	8911
"2020-4"	1703	1242	2779	5243
"2021-1"	2229	2170	4049	7515
"2021-2"	2645	1899	4736	8178
"2021-3"	3367	2281	4738	10268
"2021-4"	2226	1363	2967	7340
"2022-1"	3727	2340	5851	12954
"2022-2"	3296	2087	5172	11344
"2022-3"	3182	2490	4769	11095
"2022-4"	2346	1573	3255	8045
"2023-1"	3926	2582	6648	15118
"2023-2"	4020	2241	5480	11558
"2023-3"	3476	2256	5217	11196
"2023-4"	2887	1534	3364	8467

