"Land"	"Frauen"	"Männer"
"Schweiz"	51.2	48.8
"Deutschland"	48.0	52.0
"Ukraine"	60.0	40.0
"Italien"	44.4	55.6
"Spanien"	46.5	53.5
"Frankreich"	43.1	56.9
"Übriges Ausland"	49.7	50.3
"Total"	49.7	50.3

