Jahr	Weiterbildungsschule/Sek	Spezialangebote WBS/Sek	Zentrum für Brückenangebote	Allg. Gewerbeschule	Berufsfachschule	Total
2015	0.4	3.3	7.0	5.6	0.0	3.6
2016	1.7	14.8	7.1	13.5	15.4	5.0
2017	1.3	8.7	9.9	11.4	10.0	5.8
2018	0.8	16.7	5.1	22.1	8.7	3.5
2019	0.5	6.7	10.1	9.6	14.3	4.0
2020	0.4	5.6	15.0	18.5	0.0	4.5
2021	0.5	6.3	7.8	12.5	8.7	2.9
2022	1.1	0.0	7.2	6.8	0.0	2.7
2023	0.3	3.4	1.9	4.6	0.0	0.8
2024	0.5	4.0	1.0	4.3	0.0	0.7
