"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"	"Zielwert"
1990	8040	2300
1995	6504	2300
2000	5294	2300
2005	4651	2300
2010	3546	2300
2015	3389	2300
2020	2594	2300
