"Wohnviertel_ID"	"Wohnviertel_Name"	"Wohnungen pro Hektar"	"Anzahl Wohnungen"
1	Altstadt Grossbasel	42.23	1593
2	Vorstädte	38.42	3465
3	Am Ring	72.14	6593
4	Breite	80.94	5554
5	St. Alban	23.31	6943
6	Gundeldingen	99.55	11597
7	Bruderholz	17.36	4496
8	Bachletten	48.34	7393
9	Gotthelf	87.80	4278
10	Iselin	92.02	10050
11	St. Johann	46.85	10554
12	Altstadt Kleinbasel	67.49	1673
13	Clara	113.38	2631
14	Wettstein	44.66	3376
15	Hirzbrunnen	15.54	4814
16	Rosental	65.49	4150
17	Matthäus	151.73	9035
18	Klybeck	42.40	3902
19	Kleinhüningen	11.44	1545
20	Riehen	9.94	10800
30	Bettingen	2.52	562

