Gebiet	2015	2016	2017	2018	2019	2020	2021
Basel-Stadt	85.5	87.2	85.4	85.3	85.0	83.9	85.4
Basel-Landschaft	90.9	92.6	91.8	90.1	89.9	89.1	90.3
Jura	93.4	93.7	95.0	91.4	90.7	87.6	87.8
Schweiz	91.1	91.5	91.3	90.5	91.1	90.4	90.7
