Online-Dienstleistung	Ich kenne und nutze sie	Ich kenne, aber nutze sie nicht	Ich kenne sie nicht	Weiss nicht	Keine Angabe
eSteuern	822	353	222	256	318
eKonto	556	232	305	560	318
MapBS/Geoportal BS	358	224	362	709	318
Dräggwägg-App	344	227	377	705	318
Online-MFK	303	309	368	673	318
eUmzug	214	255	417	767	318
Bussen-App	203	210	400	840	318
Parksmart	184	234	404	831	318
data.bs	110	210	423	910	318
Andere	76	13	809	755	318
