	Sehr positiv	Eher positiv	Eher negativ	Sehr negativ	Weiss nicht	Keine Angabe
2003	390	619	176	63	249	0
2005	383	669	133	65	260	0
2007	334	638	162	58	317	0
2011	513.617	668.84611	135.95905	32.11098	157.44005	8.02682
2015	494.16345	647.66525	140.64455	48.38481	174.58153	0.55041
2019	450.24816	926.14836	188.77142	62.51342	392.73602	87.58262
2023	407.77479	782.16768	169.03785	46.94257	326.96744	321.10967

