JAHR	Klybeck	Kleinhüningen
2009	47	12
2010	54	17
2011	49	25
2012	48	34
2013	46	26
2014	42	25
2015	37	22
2016	50	27
2017	54	36
2018	36	42
2019	52	12
2020	36	19
2021	58	35
2022	41	40
