"A"	"Erwerb"	"Versicherung"	"Grenzgänger Deutschland u.a."	"Grenzgänger aus Frankreich"	"Künstler, Sport"	"Verwaltungsräte"	"Renten"	"Kapitalleistungen"
Ertrag 2008	178178054.8	709301.95	66739576.75	66714383	3018537.4	4083683.8	1803213	18981716.35
Ertrag 2017	300499792.29	2316241.7	89194693.56	73122259	1261113.55	14739701.95	2876929.2	27893274.7
Veranlagungen 2008 (rechte Skala)	17821	968	20554	21289	1682	140	780	5364
Veranlagungen 2017 (rechte Skala)	32044	2373	25579	23008	1613	529	1391	7829
