""	"Mittelwert"	"Median"	"Anzahl Veranlagungen (rechte Skala)"
"China"	404151	76464	140
"Kanada"	344371	171728	123
"USA"	326713	184105	592
"Australien"	198003	179456	83
"Irland"	187479	142201	174
"Belgien"	179878	112144	135
"UK"	174533	133766	1051
"Indien"	165526	143437	458
"Dänemark"	145734	89285	83
"Schweden"	144213	107498	148

