Monat	 Inland Ø 2016-2025	 Ausland Ø 2016-2025	 Inland 2025	 Ausland 2025
Jan	16747	21470	21449	27429
Feb	17324	24232	19909	32204
Mrz	19571	26565	28444	33199
Apr	22252	28338	26995	37219
Mai	25586	33608	31078	40593
Jun	22482	37132	29258	48194
Jul	27952	43058	37011	57715
Aug	24680	44102	31930	60712
Sep	25596	39087	34393	47398
Okt	28608	35481	36219	46055
Nov	27598	31543	37909	40780
Dez	26737	37984	40694	60448
