Jahr	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Trifft auf mich nicht zu	Weiss nicht	Keine Angabe
2003	827	577	79	9	0	5	0
2005	845	584	70	10	0	1	0
2007	756	668	75	7	0	3	0
2011	730	677	94	14	0	1	0
2015	635	738	115	15	0	3	0
2019	1255	745	65	16	1	3	23
