WOV_ID	WOV_NAME	Jahr	Anzahl Einwohner über 30 µg/m3	Anteil Einwohner über 30 µg/m3 in %
01	Altstadt Grossbasel	2020	144	6.47
02	Vorstädte	2020	381	7.55
03	Am Ring	2020	230	2.03
04	Breite	2020	2302	25.43
05	St. Alban	2020	1381	11.77
06	Gundeldingen	2020	341	1.8
07	Bruderholz	2020	48	0.51
08	Bachletten	2020	709	5.18
09	Gotthelf	2020	40	0.59
10	Iselin	2020	970	5.7
11	St. Johann	2020	2170	11.73
12	Altstadt Kleinbasel	2020	224	9.28
13	Clara	2020	0	0
14	Wettstein	2020	539	9.34
15	Hirzbrunnen	2020	186	2
16	Rosental	2020	1130	14.78
17	Matthäus	2020	850	5.48
18	Klybeck	2020	33	0.46
19	Kleinhüningen	2020	140	4.98
20	Riehen	2020	112	0.52
30	Bettingen	2020	0	0
