	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Johanniterbrücke: Mo-Fr	3061	3117	0	0	3273	0	3651	0	4476	4336	3709	0
Johanniterbrücke: Sa	2132	2102	0	0	2220	0	2408	0	3057	3128	2634	0
Wettsteinbrücke: Mo-Fr	7156	7065	6972	7630	8148	8138	8765	9296	9307	8325	7839	9423
Wettsteinbrücke: Sa	3967	3641	3463	3878	3962	4066	4434	4839	4823	4735	4868	5425
Heuwaage-Viadukt: Mo-Fr	2503	2314	0	0	2729	2790	2972	3181	3310	2835	2888	3377
Heuwaage-Viadukt: Sa	1260	1094	0	0	1228	1245	1310	1401	1456	1415	1449	1610
