"Branche"	"2021"	"2022"	"2023"
"Gastronomie"	1032	1830	2219
"Sonst. wirtsch. DL"	2168	2246	2129
"Schifffahrt, Luftfahrt"	1090	1388	1459
"Architektur- und Ingenieurbüros"	591	608	672
"Pharmazeutische Industrie"	69	68	554
"Baunebengewerbe"	536	528	525
"Lagerei"	450	499	468
"Post-, Kurier-, Expressdienste"	57	489	466
"Personalvermittlung, -überlassung"	516	504	464
"Heime"	325	385	438

