"Jahr"	"Heizgradtage"	"Anzahl Heiztage (rechte Skala)"	"Category"
1864	4001.8	239	0
1865	3280.1	190	1
1866	3194.3	222	2
1867	3553	229	3
1868	3187.1	201	4
1869	3407.7	213	5
1870	3859.7	235	6
1871	4027	234	7
1872	3202.9	224	8
1873	3457.4	230	9
1874	3615.1	225	10
1875	3542.4	212	11
1876	3517.9	232	12
1877	3561.7	249	13
1878	3501.3	215	14
1879	4268.8	249	15
1880	3386.3	225	16
1881	3753.7	240	17
1882	3454.1	236	18
1883	3508.4	227	19
1884	3523.8	243	20
1885	3737.2	236	21
1886	3505.7	215	22
1887	4277.1	254	23
1888	3977.6	241	24
1889	3919.7	231	25
1890	3879.4	238	26
1891	3774.4	227	27
1892	3618.3	222	28
1893	3438.6	214	29
1894	3614.1	240	30
1895	3682.4	207	31
1896	3753.8	233	32
1897	3481.1	225	33
1898	3427.4	234	34
1899	3510.6	231	35
1900	3342.4	221	36
1901	3757.9	224	37
1902	3724.8	241	38
1903	3568.9	236	39
1904	3520.4	228	40
1905	3763.1	238	41
1906	3571.2	231	42
1907	3566.9	230	43
1908	3748.6	221	44
1909	3674	232	45
1910	3463.3	237	46
1911	3458.6	226	47
1912	3571.8	245	48
1913	3305.6	234	49
1914	3566	240	50
1915	3441.5	223	51
1916	3228.3	224	52
1917	3785.6	210	53
1918	3438.7	230	54
1919	3717.5	234	55
1920	3250.5	211	56
1921	3192.8	203	57
1922	3733.1	235	58
1923	3426.7	235	59
1924	3581.4	224	60
1925	3533.9	235	61
1926	3194.8	217	62
1927	3395.5	228	63
1928	3287.7	224	64
1929	3653.6	221	65
1930	3207.2	223	66
1931	3748.8	236	67
1932	3670.7	229	68
1933	3652	229	69
1934	3147.8	205	70
1935	3481.5	227	71
1936	3287.7	223	72
1937	3284.5	222	73
1938	3415.4	228	74
1939	3497.5	235	75
1940	3762.4	224	76
1941	3840.2	248	77
1942	3553.9	212	78
1943	3100	209	79
1944	3527.2	230	80
1945	3276.9	210	81
1946	3236.5	205	82
1947	3168	194	83
1948	3147.5	225	84
1949	3025.2	195	85
1950	3304.8	216	86
1951	3243.1	223	87
1952	3399.2	219	88
1953	3271.6	209	89
1954	3477.1	230	90
1955	3463.1	227	91
1956	3777	225	92
1957	3285.3	223	93
1958	3267.5	210	94
1959	3094.7	211	95
1960	3204.6	218	96
1961	2896.2	201	97
1962	3729.6	229	98
1963	3604.4	212	99
1964	3229.2	200	100
1965	3417.5	234	101
1966	3101.1	205	102
1967	3243.9	217	103
1968	3181.5	199	104
1969	3541.2	226	105
1970	3423	215	106
1971	3388.6	212	107
1972	3640.4	249	108
1973	3562.9	223	109
1974	3170.7	228	110
1975	3369.4	226	111
1976	3276.4	216	112
1977	3022.3	210	113
1978	3447.8	232	114
1979	3312	216	115
1980	3502.7	227	116
1981	3148.4	200	117
1982	3165.2	216	118
1983	3181.8	210	119
1984	3386.9	230	120
1985	3509.5	209	121
1986	3394.9	212	122
1987	3385.6	215	123
1988	2939.5	206	124
1989	2954.2	202	125
1990	2782.1	196	126
1991	3280.3	215	127
1992	3092.2	209	128
1993	3050.8	203	129
1994	2719.4	201	130
1995	2972.7	202	131
1996	3380.8	219	132
1997	2970.5	201	133
1998	2992.5	204	134
1999	2910.1	192	135
2000	2603.6	188	136
2001	2946.8	199	137
2002	2700.1	199	138
2003	2995.3	190	139
2004	2991.6	196	140
2005	3040.2	195	141
2006	2926.9	184	142
2007	2671.1	188	143
2008	3004.5	210	144
2009	2825.4	183	145
2010	3275.1	207	146
2011	2604.1	184	147
2012	2926.5	196	148
2013	3112.2	196	149
2014	2398.8	179	150
2015	2677.8	189	151
2016	3024.3	209	152
2017	2870	198	153
2018	2618.7	180	154
2019	2707.7	193	155
2020	2507.2	182	156
2021	3058.2	213	157
2022	2503.2	181	158
