	Erhöhen	Beibehalten	Senken	Weiss nicht	Keine Angabe
2003	19	605	873	0	0
2005	10	569	931	0	0
2007	5	452	1052	0	0
2011	13	692	764	45	2
2015	19	850	558	77	2
2019	25	779	1047	172	85

