Zuzugs-/Wegzugsort	       2014	       2015	       2016	       2017	       2018	       2019	       2020	       2021	       2022
Schweiz. Aggl. BS	-101	34	-84	-154	-127	-63	-116	-195	-158
Übrige Schweiz	-4	56	37	-8	-5	16	-26	-15	20
Ausland	266	345	425	377	400	421	305	281	409
Unbekannt	-60	-71	-80	-89	-105	-46	-55	-91	-79
Total	101	364	298	126	163	328	108	-20	192
