Jahr,Weiss nicht /<br/>keine Angabe,Sehr unzufrieden,Eher unzufrieden,Eher zufrieden,Sehr zufrieden
2011<br/>(N=1689),173,33,335,731,417
2015<br/>(N=1427),130,49,283,658,307

