"Kanton"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2019"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2020"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	71.6175	69.5034	73.7316	72.9519	70.9174	74.9865	68.7220	66.5136	70.9305	68.9921	66.7816	71.2025	68.7039	66.5387	70.8691
"Basel-Landschaft"	72.1033	70.4000	73.8066	71.1579	69.4753	72.8406	71.1755	69.4324	72.9185	70.3230	68.5852	72.0609	69.3647	67.6357	71.0938
"Jura"	64.4632	60.8668	68.0597	67.7616	64.2987	71.2245	71.8014	68.4188	75.1841	64.6872	61.1562	68.2183	66.6017	63.1669	70.0364
"BS/BL/JU"	70.9365	69.6898	72.1831	71.3605	70.1457	72.5752	70.3773	69.1060	71.6486	69.1174	67.8408	70.3940	68.7714	67.5130	70.0298
"Schweiz"	71.9870	71.7083	72.2656	72.9277	72.6522	73.2033	70.5382	70.2482	70.8282	71.3391	71.0542	71.6239	70.5856	70.3122	70.8591

