	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100.0	100.0	100.0	100.0	100.0
2015	103.3	102.7	98.2	102.6	100.4
2016	111.5	103	98	107.3	101.4
2017	117.1	103.1	100.7	110.7	101.7
2018	119.6	102	105.5	112.1	103.8
2019	122.5	101.4	107.2	113.7	104.2
2020	119.6	99.5	98.2	110.6	101.3
2021	134.7	105.2	107.3	121.9	105.9

