	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2011	550.4839	552.18481	148.5318	23.8906	5.65743	0
2015	612.57112	543.66531	117.56045	15.60593	3.0931	0
2019	786.81955	748.69846	186.67657	26.42217	8.69765	65.16249
2023	726.26797	752.9852	184.87511	42.01149	14.49773	31.6381


