Altersklasse	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
0 bis 9 Jahre	212.8	203.8	203.5	202.1	198.9	197.1	191.2	184.4	197.7	173.0	181.2	174.2
10 bis 19 Jahre	69.5	73.7	70.9	72.0	67.3	67.1	68.6	63.8	62.8	59.0	65.9	65.7
20 bis 29 Jahre	97.4	96.8	91.9	92.5	94.1	94.5	92.8	89.0	88.8	81.9	89.6	82.6
30 bis 39 Jahre	123.2	123.6	117.8	123.3	120.5	122.2	123.6	118.5	123.7	120.8	125.2	122.3
40 bis 49 Jahre	126.5	123.3	131.6	127.3	129.1	128.1	124.0	123.2	118.2	114.7	116.9	113.8
50 bis 59 Jahre	171.7	174.1	168.0	167.9	177.0	176.8	175.4	166.6	173.6	164.9	172.8	166.7
60 bis 69 Jahre	274.4	276.8	272.7	271.9	271.7	280.5	277.2	266.5	260.0	240.6	256.5	256.0
70 bis 79 Jahre	449.2	460.7	481.7	477.8	473.6	450.2	467.7	481.4	469.6	439.7	454.7	484.9
80 bis 89 Jahre	669.5	706.6	714.8	744.2	750.1	779.9	790.6	792.5	784.1	700.7	752.2	840.1
90 Jahre u.m.	750.0	755.3	808.3	863.4	901.8	908.9	938.6	924.7	914.5	915.0	957.3	1051.3
