JAHR	Innenstadt	Kanton BS
2008	12916	189249
2009	13020	190034
2010	12941	190332
2011	13250	192076
2012	13445	193459
2013	13762	195459
2014	13832	196471
2015	13866	197204
2016	14087	198206
2017	14153	198988
2018	14139	200256
2019	14065	200407
2020	14164	201971
2021	14290	201805
2022	14645	204550
2023	14517	206308
2024	14586	207515
