"Alter"	"Männer"	"Frauen"
"15-19"	4.4	5.4
"20-24"	6.9	5.3
"25-29"	5.8	4.6
"30-34"	4.2	2.9
"35-39"	3.8	3.1
"40-44"	3.8	2.9
"45-49"	3.0	2.9
"50-54"	3.1	2.5
"55-59"	2.8	2.1
"60-64"	4.8	3.3

