jahr	Wegpendler in die Schweiz	Wegpendler ins Ausland	Zupendler aus der Schweiz	Zupendler aus dem Ausland	Saldo
1990	-14688	-281	57294	28767	71092
2000	-17150	-235	54525	29785	66925
2010	-22450	-269	60812	31090	69183
2011	-22097	-580	63306	31929	72558
2012	-22943	-512	62880	32799	72224
2013	-23562	-478	62884	33603	72447
2014	-24679	-508	64706	35143	74662
2015	-24073	-338	64289	36272	76150
