Jahr	Basel-Stadt	Basel-Landschaft	Aargau	Solothurn	Schweiz
2006	3573	2635	2261	2323	2583
2007	3610	2670	2313	2364	2612
2008	3580	2649	2336	2360	2586
2009	3637	2721	2380	2431	2611
2010	3964	3013	2629	2680	2834
2011	4213	3243	2796	2834	3005
2012	4314	3337	2873	2937	3075
2013	4317	3375	2894	2977	3105
2014	4355	3445	2973	3056	3172
2015	4515	3625	3098	3214	3289
2016	4625	3802	3245	3400	3442
