Jahr	Notwohnungen	Notwohnungen belegt	Belegungsquote (Anteil belegter Wohnungen in %, rechte Skala)
2011	104	94	90.3846153846154
2012	101	95	94.0594059405941
2013	98	95	96.9387755102041
2014	102	99	97.0588235294118
2015	141	130	92.1985815602837
2016	141	126	89.3617021276596
