	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	616	620	208	41	10	0
2005	564	672	216	47	10	0
2007	536	720	213	31	5	0
2011	727.32655	606.72887	152.39655	23.8906	5.65743	
2015	741.67613	617.20972	125.32201	16.15634	4.36280	
2019	939.39417	816.92098	191.82095	27.12459	10.1025	76.30976
2023	888.9166	828.28572	191.0006	44.94106	15.35301	31.6381

