""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2011-01"	0.033453	6
"2011-02"	0.033453	7
"2011-03"	0.033453	8
"2011-04"	0.033453	8
"2011-05"	0.033453	8
"2011-06"	0.033453	9
"2011-07"	0.033453	11
"2011-08"	0.033453	9
"2011-09"	0.033453	9
"2011-10"	0.033453	7
"2011-11"	0.033453	8
"2011-12"	0.033453	13
"2012-01"	0.051316	13
"2012-02"	0.051316	19
"2012-03"	0.051316	14
"2012-04"	0.051316	11
"2012-05"	0.051316	11
"2012-06"	0.051316	11
"2012-07"	0.051316	12
"2012-08"	0.051316	10
"2012-09"	0.051316	13
"2012-10"	0.051316	11
"2012-11"	0.051316	13
"2012-12"	0.051316	20
"2013-01"	0.068204	26
"2013-02"	0.068204	25
"2013-03"	0.068204	23
"2013-04"	0.068204	19
"2013-05"	0.068204	20
"2013-06"	0.068204	18
"2013-07"	0.068204	13
"2013-08"	0.068204	12
"2013-09"	0.068204	10
"2013-10"	0.068204	12
"2013-11"	0.068204	16
"2013-12"	0.068204	16
"2014-01"	0.054564	12
"2014-02"	0.054564	16
"2014-03"	0.054564	13
"2014-04"	0.054564	15
"2014-05"	0.054564	14
"2014-06"	0.054564	15
"2014-07"	0.054564	16
"2014-08"	0.054564	15
"2014-09"	0.054564	14
"2014-10"	0.054564	12
"2014-11"	0.054564	13
"2014-12"	0.054564	13
"2015-01"	0.043846	12
"2015-02"	0.043846	12
"2015-03"	0.043846	11
"2015-04"	0.043846	12
"2015-05"	0.043846	9
"2015-06"	0.043846	12
"2015-07"	0.043846	10
"2015-08"	0.043846	10
"2015-09"	0.043846	11
"2015-10"	0.043846	10
"2015-11"	0.043846	13
"2015-12"	0.043846	13
"2016-01"	0.057487	14
"2016-02"	0.057487	12
"2016-03"	0.057487	11
"2016-04"	0.057487	12
"2016-05"	0.057487	13
"2016-06"	0.057487	13
"2016-07"	0.057487	14
"2016-08"	0.057487	15
"2016-09"	0.057487	16
"2016-10"	0.057487	18
"2016-11"	0.057487	18
"2016-12"	0.057487	21
"2017-01"	0.059760	20
"2017-02"	0.059760	20
"2017-03"	0.059760	19
"2017-04"	0.059760	19
"2017-05"	0.059760	12
"2017-06"	0.059760	9
"2017-07"	0.059760	13
"2017-08"	0.059760	13
"2017-09"	0.059760	14
"2017-10"	0.059760	17
"2017-11"	0.059760	13
"2017-12"	0.059760	15
"2018-01"	0.056187	19
"2018-02"	0.056187	17
"2018-03"	0.056187	24
"2018-04"	0.056187	19
"2018-05"	0.056187	16
"2018-06"	0.056187	10
"2018-07"	0.056187	11
"2018-08"	0.056187	10
"2018-09"	0.056187	7
"2018-10"	0.056187	11
"2018-11"	0.056187	14
"2018-12"	0.056187	15
"2019-01"	0.049367	15
"2019-02"	0.049367	12
"2019-03"	0.049367	14
"2019-04"	0.049367	13
"2019-05"	0.049367	15
"2019-06"	0.049367	12
"2019-07"	0.049367	13
"2019-08"	0.049367	10
"2019-09"	0.049367	11
"2019-10"	0.049367	11
"2019-11"	0.049367	12
"2019-12"	0.049367	14
"2020-01"	0.066256	15
"2020-02"	0.066256	15
"2020-03"	0.066256	20
"2020-04"	0.066256	20
"2020-05"	0.066256	21
"2020-06"	0.066256	21
"2020-07"	0.066256	21
"2020-08"	0.066256	19
"2020-09"	0.066256	14
"2020-10"	0.066256	12
"2020-11"	0.066256	12
"2020-12"	0.066256	14

