Online-Dienstleistung	Ich kenne und nutze sie	Ich kenne, aber nutze sie nicht	Ich kenne sie nicht	Weiss nicht	Keine Angabe
eSteuern	822.10	352.46	222.20	255.91	318.25
eKonto	556.34209	231.40104	304.60513	560.32052	318.25435
MapBS/Geoportal BS	358.19	223.63	361.52	709.33	318.25
Dräggwägg-App	344.48	226.71	376.60	704.87	318.25
Online-MFK	302.65	309.02	367.78	673.22	318.25
eUmzug	213.63	254.97	417.14	766.93	318.25
Bussen-App	202.73	209.72	400.51	839.71	318.25
Parksmart	184.23	233.77	403.87	830.80	318.25
data.bs	109.56	210.23	423.03	909.85	318.25
Andere	75.34	13.30	809.31	754.72	318.25
