"Jahr"	"Wasserverbrauch Haushalte und Kleingewerbe"	"Category"
1974	20.7	0
1975	20	1
1976	20.7	2
1977	19.1	3
1978	19.8	4
1979	20.3	5
1980	18.9	6
1981	18.6	7
1982	19.6	8
1983	19.6	9
1984	19.5	10
1985	20.1	11
1986	23	12
1987	24.3	13
1988	21.7	14
1989	22.5	15
1990	23	16
1991	22.2	17
1992	22.1	18
1993	22	19
1994	22.1	20
1995	20.9	21
1996	20.1	22
1997	20.2	23
1998	20.1	24
1999	19.1	25
2000	18.7	26
2001	18	27
2002	17	28
2004	19.2	29
2005	18.5	30
2006	17.7	31
2007	16.8	32
2008	17.2	33
2009	17.1	34
2010	16.8	35
2011	15.9	36
2012	15.7	37
2013	15.8	38
2014	15.4	39
2015	12.9	40
2016	12.8	41
2017	12.8	42
2018	12.8	43
2019	12.7	44
2020	12.9	45
2021	11.9	46
2022	11.3	47
2023	12.2	48
