Staatsangehörigkeit	 Median 2005	 Median 2014
Schweiz	48940	48400
Deutschland	63720	70231
Italien	46166	46526
 Türkei	38304	31824
EU-17 + EFTA	54562	65187
EU-Ost	29450	47396
Balkan	44108	40806
Mittel- und Südamerika	30054	34688
Arabische Länder	32450	25190
Afrikanische Länder	32966	20357
Übrige Länder	43265	64938
