"Alter"	"Männer"	"Frauen"
"15-19"	4.4	2.3
"20-24"	7.5	3.4
"25-29"	6.4	4.1
"30-34"	4.9	4.7
"35-39"	5.7	5.8
"40-44"	6.2	4.9
"45-49"	5.9	4.7
"50-54"	5.4	5.6
"55-59"	5.4	4.7
"60-64"	10.7	6.0

