"Jahr"	"Mittelwert Reineinkommen"	"Median Reineinkommen"	"Ertrag aus Einkommenssteuer (rechte Skala)"
2012	65189	48409	1059996122
2013	66943	48816	1079581767
2014	68538	49044	1109915052
2015	68248	49142	1109628846
2016	69823	49335	1150108299
2017	69373	49558	1128652533
2018	69761	49680	1151930387
2019	72418	49883	1223697688
2020	73376	50174	1253158592
2021	76202	50905	1341418374


