"WOV_ID"	"WOV_NAME"	"Anteil BGF an Total"
1	"Altstadt Grossbasel"	0.0
2	"Vorstädte"	0.2
3	"Am Ring"	0.0
4	"Breite"	5.9
5	"St. Alban"	23.8
6	"Gundeldingen"	6.9
7	"Bruderholz"	0.8
8	"Bachletten"	0.2
9	"Gotthelf"	0.0
10	"Iselin"	5.8
11	"St. Johann"	13.8
12	"Altstadt Kleinbasel"	0.0
13	"Clara"	2.8
14	"Wettstein"	0.0
15	"Hirzbrunnen"	3.1
16	"Rosental"	10.7
17	"Matthäus"	0.0
18	"Klybeck"	26.0
19	"Kleinhüningen"	0.0

