"Staatsangehörigkeit"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"
"Schweiz"	16698.628737	40489.057645	46924.513618
"Deutschland"	817.01939353	3022.4619249	9946.4567514
"Italien"	2930.1947613	1954.6233431	2475.5994515
"Türkei"	3097.1868973	1236.3138722	730.48127446
"EU-West + EFTA + UK"	3273.9747608	1937.1092868	8034.4253261
"EU-Ost"	593.34781927	1553.4148127	2505.4823248
"Balkan"	2704.3293488	1935.6298601	730.67722320
"Mittel- und Südamerika"	552.50358048	362.40163342	746.92322476
"Arabische Länder"	490.78654638	374.97607911	404.21019302
"Afrikanische Länder"	708.81479926	421.13226655	313.58441928
"Übrige Länder"	1287.6176376	867.88455956	4501.4366284

