"Jahr"	"Basel-Stadt"	"Basel-Stadt 95% Konfidenzintervall Untergrenze"	"Basel-Stadt 95% Konfidenzintervall Obergrenze"	"Schweiz"	"Schweiz 95% Konfidenzintervall Untergrenze"	"Schweiz 95% Konfidenzintervall Obergrenze"
"2010-2012"	12.1	10.2	14.1	8.3	8.1	8.5
"2013-2015"	10.0	8.2	11.8	7.3	7.1	7.5
"2016-2018"	9.3	7.3	11.2	6.8	6.6	7.0
"2019-2021"	9.9	7.9	11.8	6.3	6.1	6.5

