Jahr	Wohnfläche in m² pro Person
1980	36
1990	39.282620924519
1997	40.2
1998	40.5
1999	40.9
2000	41.108202876103
2010	42.131702031783
2011	42.029502178246
2012	41.989175837952
2013	42.004384685941
2014	41.7
2015	41.454831762135
2016	41.279119850187
2017	41.063543712208
2018	41.047173024523
2019	41.357001444975240
