Jahr	Stimmt genau	Stimmt eher	 Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	269	582	301	84	55	0
2003: Ausland	70	100	21	5	10	0
2003: Total	339	682	322	89	65	0
2005						
2005: Schweiz	268	620	292	75	45	0
2005: Ausland	83	93	22	3	9	0
2005: Total	351	713	314	78	54	0
2007						
2007: Schweiz	254	648	278	79	72	0
2007: Ausland	41	98	25	2	12	0
2007: Total	295	746	303	81	84	0
...
2011
.
2015
..
2019						
2019: Schweiz	655.63220	494.95505	113.54451	21.74729	56.64997	37.42997
2019: Ausland	422.26533	190.58784	45.13360	1.70204	31.33221	13.59773
2019: Total	1080.903	691.5531	160.3713	23.44933	88.70544	63.01742
2023						
2023: Schweiz	558.94653	441.74977	107.79777	37.76652	73.30922	120.89851
2023: Ausland	310.47778	158.86589	37.41129	11.24122	26.34690	169.18860
2023: Total	869.4243	600.6157	145.2091	49.00774	99.65612	290.0871
