Jahr	 Neubau	 Abbruch	 Umbausaldo	 Nettowohnungsproduktion
2005	301	-14	-72	215
2006	353	-134	-56	163
2007	120	-107	-74	-61
2008	201	-125	-28	48
2009	468	-150	-18	300
2010	372	-146	-18	208
2011	351	-58	18	311
2012	268	-26	28	270
2013	177	-41	35	171
2014	369	-53	180	496
2015	788	-178	25	635
