Jahr,Seit mind. 12 Jahren in Basel-Stadt - Zuzug aus dem Ausland,Seit mind. 12 Jahren in Basel-Stadt - Zuzug aus der Schweiz,Weniger als 12 Jahre in Basel-Stadt - Zuzug aus dem Ausland,Weniger als 12 Jahre in Basel-Stadt - Zuzug aus der Schweiz,Geboren in Basel-Stadt ohne Wegzug
2006,15021,4723,22924,7682,7992
2007,14707,4701,24003,7650,7612
2008,14427,4653,25710,7884,7372
2009,14207,4642,27221,8168,7439
2010,14161,4678,27230,8497,7566
2011,14115,4770,28795,8680,7735
2012,14224,4811,29463,9115,7914
2013,14303,4851,30917,9426,8055
2014,14686,4937,31278,9601,8277
2015,14775,4968,31690,9884,8270
