Jahr	Güterschiffe	Tragfähigkeit in Tausend Tonnen (rechte Skala)
1941	237	153.042
1942	240	154.092
1943	240	154.599
1944	247	157.013
1945	249	159.146
1946	289	182.566
1947	314	202.806
1948	335	217.048
1949	359	242.024
1950	379	261.363
1951	382	264.708
1952	378	263.622
1953	378	262.732
1954	364	265.384
1955	363	267.532
1956	361	276.924
1957	384	302.44
1958	409	335.447
1959	421	358.708
1960	433	375.78
1961	437	388.084
1962	458	416.165
1963	473	432.722
1964	486	445.809
1965	490	453.255
1966	491	457.016
1967	488	467.403
1968	476	460.227
1969	436	429.045
1970	445	450.716
1971	484	521.102
1972	516	576.387
1973	507	584.644
1974	496	588.121
1975	473	574.986
1976	449	557.636
1977	409	530.447
1978	438	567.001
1979	451	592.181
1980	451	599.629
1981	484	645.23
1982	470	629.067
1983	456	634.696
1984	417	593.889
1985	394	579.685
1986	355	521.168
1987	322	481.229
1988	287	440.032
1989	260	382.585
1990	223	321.508
1991	209	290.341
1992	203	281.48
1993	196	266.99
1994	192	250.328
1995	165	200.051
1996	145	157.503
1997	134	148.864
1998	127	145.79
1999	125	135.278
2000	125	133.425
2001	118	117.308
2002	115	110.738
2003	111	103.441
2004	114	102.322
2005	121	122.397
2006	130	131.05
2007	137	142.017
2008	138	146.95
2009	141	149.353
2010	148	177.563
2011	155	182.042372
2012	167	184.379593
2013	169	167.936532
2014	195	173.763
2015	212	175.188095
2016	219	161.944143
2017	248	175.064575
2018	245	162.154869
2019	254	147.986882
2020	266	140.107756
2021	278	163.771929
