Monat	 Saldo Geburten-Todesfälle	 Saldo Zuzüge-Wegzüge	 Bereinigungen
2022-07	-5	-135	-242
2022-08	-18	205	-185
2022-09	-40	481	55
2022-10	-18	214	8
2022-11	-44	31	231
2022-12	-49	-160	46
2023-01	-66	214	154
2023-02	35	283	-227
2023-03	-8	234	145
2023-04	-5	185	-159
2023-05	30	18	91
2023-06	...	-289	342
2023-07	...	-143	258
