"Jahr"	"Anlieferung aus Basel-Stadt"	"Anlieferung aus Basel-Landschaft"
2003	77175	80602
2004	73078	69431
2005	71073	69870
2006	71125	74184.6
2007	72046	78070
2008	72920	83030
2009	72724	84125
2010	68187	85544
2011	69003	84915
2012	67806	83392
2013	68089	81742
2014	69224	84430
2015	67808	81113
2016	65711	84495
2017	64232	84322
2018	64686	81392.6
2019	57758	83819.6
2020	56044.1	84240.7
2021	55420.8	87220.5
2022	51931.4	85724.4
2023	54124.5	84845.4
2024	52204.9	90790.1
