"WohnviertelId"	"Wohnviertel_Name"	"Bevölkerungsdichte 2019"	"Differenz 2019 zu 2000"	"Bevölkerungsdichte 2000"	"Einwohner 2000"	"Einwohner 2019"	"Fläche"
01	"Altstadt Grossbasel"	67.653	11.3993	56.254	2122	2552	377216.69
02	"Vorstädte"	55.653	3.2489	52.404	4726	5019	901840.83
03	"Am Ring"	122.021	8.5126	113.509	10374	11152	913939.03
04	"Breite"	131.365	5.5962	125.769	8630	9014	686180.74
05	"St. Alban"	39.081	5.6593	33.422	9957	11643	2979161.95
06	"Gundeldingen"	161.059	4.7557	156.303	18208	18762	1164913.75
07	"Bruderholz"	36.293	1.6176	34.676	8982	9401	2590291.35
08	"Bachletten"	89.307	1.1640	88.143	13479	13657	1529227.37
09	"Gotthelf"	142.681	6.1776	136.503	6651	6952	487241.78
10	"Iselin"	154.651	8.9733	145.678	15910	16890	1092134.30
11	"St. Johann"	82.125	2.4635	79.662	17947	18502	2252902.03
12	"Altstadt Kleinbasel"	97.178	2.5817	94.596	2345	2409	247895.42
13	"Clara"	176.510	12.9196	163.590	3786	4085	231431.65
14	"Wettstein"	73.090	3.5851	69.505	5254	5525	755916.59
15	"Hirzbrunnen"	30.104	0.6005	29.503	9138	9324	3097284.25
16	"Rosental"	119.025	51.4480	67.577	4282	7542	633650.05
17	"Matthäus"	257.271	1.8808	255.390	15208	15320	595481.52
18	"Klybeck"	78.644	1.7822	76.862	7073	7237	920218.14
19	"Kleinhüningen"	20.710	3.2271	17.483	2362	2798	1351059.46
20	"Riehen"	19.744	0.8471	18.897	20523	21443	10860254.93
30	"Bettingen"	5.299	-0.0314	5.330	1187	1180	2227019.11

