"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"
2008	790953.5
2009	666935
2010	716640.5
2011	640601
2012	734487
2013	920362
2014	979293
2015	947034
2016	1199258
2017	1061570
2018	1179023
2019	1088244
2020	1069679
2021	653237
2022	467220
2023	408741
2024	484096
