"Jahr"	"Schweiz"	"Ausland"	"Total"
"2009"	8.10	11.86	9.31
"2010"	8.62	12.67	9.95
"2011"	8.30	12.58	9.72
"2012"	8.67	12.65	10.01
"2013"	8.50	13.11	10.08
"2014"	8.73	12.30	9.98
"2015"	9.50	12.29	10.48
"2016"	9.46	13.73	10.97
"2017"	9.49	12.27	10.49
"2018"	9.33	12.28	10.40

