"Jahr"	"Ausländeranteil"	"Ausländer"	"Bevölkerung"
"2003"	29.43071794299	55353	188079
"2004"	29.93399760184	56419	188478
"2005"	30.42733766130	57040	187463
"2006"	31.13765424192	58342	187368
"2007"	31.26158862769	58673	187684
"2008"	31.72437841436	60046	189274
"2009"	32.45389249914	61677	190045
"2010"	32.64384000673	62132	190333
"2011"	33.36960369854	64095	192076
"2012"	33.87125954337	65527	193459
"2013"	34.56070070961	67552	195459
"2014"	35.00720208071	68779	196471
"2015"	35.28680959818	69587	197204
"2016"	35.72444830126	70808	198206
"2017"	35.98709469918	71610	198988
"2018"	36.41888382870	72931	200256
"2019"	36.58305348616	73315	200407
"2020"	36.98303221750	74695	201971
"2021"	36.88412080969	74434	201805
"2022"	37.94915668541	77625	204550

