Altersgruppen	 Männlich	 Weiblich
0-4	385	391
5-9	490	452
10-14	624	543
15-19	616	687
20-24	315	505
25-29	277	418
30-34	362	434
35-39	425	495
40-44	458	509
45-49	389	365
50-54	263	219
55-59	162	157
60-64	108	89
65-69	59	56
70-74	40	23
75-79	19	12
80-84	3	2
85-89	2	
90-94	1	1
95-100	0	0
