Land,Altersquotient
Schweiz,45.690836329
Ausland,10.0426283651446
,0
Deutschland,8.5118153798
Italien,34.685105588
Spanien,10.774647887
Türkei,9.7409785256
Maghreb und Ägypten,3.4632034632
Ehem. Jugoslawien ohne SLO,9.8301595471
EU-Oststaaten,2.6072041166
Mittel- und Südamerika,2.033492823
