"Jahr"	"Ältere Mietverhältnisse (> 2 Jahre)"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Neue Mietverhältnisse (&#8804; 2 Jahre)"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Preisdifferenz in % (rechte Skala)"
2020	17.6	17.4	17.8	20.4	19.8	20.9	15.9
2021	17.9	17.7	18.1	20.7	20.1	21.2	15.6
2022	18	17.8	18.3	21	20.5	21.6	16.7
2023	18.5	18.3	18.8	21.4	20.9	21.9	15.7

