	Anzahl Plätze 	Durchschnitt der Anzahl Nutzerinnen und Nutzer pro Tag	Auslastungsquote (rechte Skala)
2015	2340	1871	80.0
2016	2466	2089	84.7
2017	2726	2278	83.6
2018	2911	2567	88.2
2019	3183	2816	88.5
2020	3463	3071	88.7
2021	3625	3208	88.5
2022	3800	3562	93.7
2023	4080	3840	94.1
2024	4240	4059	95.7
