Jahr	Nettoproduktion seit 2019	Zielpfad	Bewertung
2019		0	
2020	672	625	0
2021	1649	1250	0
2022	2818	1875	0
2023	3683	2500	0
2024		3125	
2025		3750	
2026		4375	
2027		5000	
2028		5625	
2029		6250	
2030		6875	
2031		7500	
2032		8125	
2033		8750	
2034		9375	
2035		10000	
