Antwort,Sehr gerne,Eher gerne,Eher ungern,Ganz ungern,Weiss nicht / keine Angabe
2003 (N=1497),64.6,31.2,3.4,0.6,0.2
2005 (N=1510),62.4,33.6,3.2,0.7,0.1
2007 (N=1509),63.6,32.1,3.5,0.5,0.3
2011 (N=1516),75.5,22.5,1.3,0.6,0.1
2015 (N=1506),71.7,25.2,2,0.7,0.4
