Monat	 Inland Ø 2016-2025	 Ausland Ø 2016-2025	 Inland 2025	 Ausland 2025
Jan	29207.0	42856.9	34823	54340
Feb	28799.0	48303.8	31759	65831
Mrz	36153.3	58849.0	51255	74337
Apr	36628.7	56714.0	46001	77550
Mai	43172.7	67159.3	60871	89983
Jun	38670.7	79420.6	51114	102441
Jul	45246.6	78998.8	62050	105328
Aug	41881.2	79814.4	51137	108281
Sep	41780.0	76947.0	56799	93542
Okt	46480.2	71937.5	59469	90997
Nov	44353.0	63373.9	60452	81969
Dez	41007.6	72496.6	61537	114423
